date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,24,15,0.0,14.5,5,5,4,03:00 AM,07:57 PM,05:10 AM,08:47 PM,16,20,21,20,11,17,78,0.0,1011,24,8,278,7
2008-07-02,25,14,0.0,14.5,5,5,0,04:06 AM,08:55 PM,05:10 AM,08:46 PM,15,20,20,20,20,8,72,0.0,1012,25,10,215,12
2008-07-03,22,14,0.0,12.5,5,5,0,05:24 AM,09:39 PM,05:11 AM,08:46 PM,14,19,19,19,24,43,74,10.3,1010,22,9,241,14
2008-07-04,23,9,0.0,14.5,5,5,3,06:46 AM,10:12 PM,05:12 AM,08:46 PM,12,18,19,18,16,7,72,0.0,1017,23,10,239,10
2008-07-05,25,12,0.0,14.5,5,5,10,08:08 AM,10:37 PM,05:12 AM,08:45 PM,16,20,21,20,13,5,76,0.0,1016,25,10,233,8
2008-07-06,25,14,0.0,14.5,5,5,17,09:26 AM,10:58 PM,05:13 AM,08:45 PM,17,21,21,21,16,0,79,0.0,1016,25,8,236,10
2008-07-07,28,14,0.0,14.5,6,6,25,10:39 AM,11:17 PM,05:14 AM,08:44 PM,18,23,24,23,17,6,77,0.0,1014,28,9,237,10
2008-07-08,30,16,0.0,14.5,6,6,32,11:50 AM,11:35 PM,05:15 AM,08:44 PM,20,26,26,24,18,14,77,0.0,1010,30,9,226,11
2008-07-09,26,20,0.0,13.5,6,6,39,12:57 PM,11:53 PM,05:15 AM,08:43 PM,21,25,25,23,20,50,90,2.3,1005,26,9,216,12
2008-07-10,22,14,0.0,11.5,4,4,47,02:04 PM,No moonset,05:16 AM,08:43 PM,14,18,19,18,26,39,76,0.0,1011,22,10,277,17
2008-07-11,23,11,0.0,14.5,5,5,54,03:12 PM,12:12 AM,05:17 AM,08:42 PM,13,17,18,17,10,18,79,0.3,1018,23,8,242,6
2008-07-12,27,13,0.0,14.5,6,6,61,04:18 PM,12:35 AM,05:18 AM,08:42 PM,17,21,23,21,12,27,78,0.1,1017,27,8,147,7
2008-07-13,24,20,0.0,11.5,5,5,68,05:22 PM,01:04 AM,05:19 AM,08:41 PM,20,21,22,21,27,67,95,11.7,1005,24,8,191,15
2008-07-14,22,17,0.0,14.5,5,5,76,06:22 PM,01:39 AM,05:20 AM,08:40 PM,16,19,20,19,22,39,85,0.4,1007,22,9,231,13
2008-07-15,23,15,0.0,14.5,5,5,83,07:15 PM,02:22 AM,05:21 AM,08:39 PM,16,19,19,19,17,26,81,0.0,1016,23,9,242,11
2008-07-16,25,14,0.0,13.5,6,6,90,08:00 PM,03:15 AM,05:22 AM,08:39 PM,17,20,21,20,19,30,81,0.2,1019,25,9,225,11
2008-07-17,27,14,0.0,14.5,6,6,97,08:35 PM,04:16 AM,05:23 AM,08:38 PM,17,22,23,22,11,23,77,0.0,1019,27,8,162,6
2008-07-18,24,15,0.0,11.5,5,5,100,09:05 PM,05:23 AM,05:24 AM,08:37 PM,18,19,20,19,12,66,92,9.2,1014,24,7,169,7
2008-07-19,26,18,0.0,13.5,6,6,88,09:29 PM,06:32 AM,05:25 AM,08:36 PM,20,22,23,22,14,39,87,0.7,1012,26,7,266,9
2008-07-20,21,15,0.0,10.4,5,5,81,09:49 PM,07:43 AM,05:26 AM,08:35 PM,18,19,19,19,8,57,94,1.2,1013,21,5,108,5
2008-07-21,24,17,0.0,14.5,6,6,73,10:08 PM,08:53 AM,05:27 AM,08:34 PM,19,21,22,21,8,23,87,0.7,1011,24,6,92,5
2008-07-22,24,16,0.0,14.5,6,6,66,10:26 PM,10:03 AM,05:28 AM,08:33 PM,19,21,22,21,11,51,88,1.5,1013,24,7,79,6
2008-07-23,23,17,0.0,11.4,5,5,59,10:45 PM,11:15 AM,05:29 AM,08:32 PM,19,20,21,20,16,78,93,7.5,1014,23,7,117,9
2008-07-24,22,18,0.0,11.4,4,4,52,11:07 PM,12:29 PM,05:30 AM,08:31 PM,19,20,20,20,17,69,96,6.9,1012,22,6,145,10
2008-07-25,24,17,0.0,13.5,6,6,44,11:32 PM,01:46 PM,05:31 AM,08:30 PM,18,21,21,21,21,36,84,0.9,1015,24,8,208,13
2008-07-26,22,17,0.0,12.4,5,5,37,No moonrise,03:06 PM,05:32 AM,08:29 PM,17,19,20,19,20,53,85,0.0,1010,22,8,196,11
2008-07-27,24,17,0.0,14.5,5,5,30,12:05 AM,04:25 PM,05:33 AM,08:28 PM,17,20,21,20,19,29,84,0.0,1007,24,9,213,12
2008-07-28,22,15,0.0,14.5,5,5,23,12:49 AM,05:40 PM,05:34 AM,08:27 PM,18,19,20,19,18,40,90,2.9,1008,22,9,229,10
2008-07-29,24,16,0.0,14.5,4,4,15,01:46 AM,06:42 PM,05:36 AM,08:25 PM,17,20,21,20,17,46,86,0.6,1011,24,6,282,11
2008-07-30,25,14,0.0,14.5,5,5,8,02:57 AM,07:32 PM,05:37 AM,08:24 PM,17,21,22,21,11,28,80,1.5,1008,25,8,181,6
2008-07-31,25,18,0.0,12.4,5,5,4,04:17 AM,08:08 PM,05:38 AM,08:23 PM,20,21,22,21,15,64,94,9.1,1002,25,6,195,9
2008-08-01,24,18,0.0,14.5,5,5,0,05:40 AM,08:37 PM,05:39 AM,08:22 PM,19,21,22,21,14,52,92,3.5,1004,24,5,239,8
2008-08-02,24,17,0.0,11.4,5,5,0,07:01 AM,09:00 PM,05:40 AM,08:20 PM,19,21,22,21,10,57,91,2.4,1006,24,8,168,6
2008-08-03,22,17,0.0,12.4,4,4,6,08:17 AM,09:20 PM,05:41 AM,08:19 PM,18,19,20,19,9,64,94,3.7,1009,22,6,295,5
2008-08-04,24,14,0.0,13.4,5,5,14,09:30 AM,09:38 PM,05:42 AM,08:18 PM,17,20,20,20,11,63,87,0.3,1013,24,5,120,7
2008-08-05,25,16,0.0,13.4,5,5,21,10:40 AM,09:56 PM,05:44 AM,08:16 PM,17,20,20,20,15,48,85,0.0,1015,25,7,51,10
