date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,22,13,0.0,15.6,5,5,4,03:34 AM,08:12 PM,05:40 AM,09:03 PM,13,19,20,19,16,11,70,0.0,1013,22,10,256,9
2008-07-02,24,17,0.0,15.6,6,6,0,04:39 AM,09:11 PM,05:41 AM,09:03 PM,13,21,22,21,35,10,63,0.1,1010,24,10,212,18
2008-07-03,20,14,0.0,15.6,5,5,0,05:56 AM,09:56 PM,05:42 AM,09:03 PM,15,18,19,18,24,45,83,0.0,1012,20,10,307,15
2008-07-04,20,11,0.0,15.6,5,5,3,07:18 AM,10:30 PM,05:42 AM,09:02 PM,12,17,18,17,11,27,73,0.0,1018,20,10,183,7
2008-07-05,22,12,0.0,15.6,5,5,10,08:37 AM,10:58 PM,05:43 AM,09:02 PM,16,21,22,21,9,6,73,0.0,1017,22,10,111,5
2008-07-06,24,13,0.0,15.6,5,5,17,09:54 AM,11:20 PM,05:43 AM,09:02 PM,18,23,24,23,10,0,76,0.0,1016,24,10,139,7
2008-07-07,26,15,0.0,15.6,6,6,25,11:05 AM,11:41 PM,05:44 AM,09:01 PM,19,24,25,24,14,1,75,0.0,1014,26,10,218,9
2008-07-08,26,20,0.0,15.6,6,6,32,12:13 PM,12:00 AM,05:45 AM,09:01 PM,20,24,24,23,26,41,84,2.5,1009,26,9,215,14
2008-07-09,24,16,0.0,15.5,6,6,39,01:20 PM,No moonset,05:46 AM,09:00 PM,18,21,23,21,24,38,82,0.0,1008,24,8,269,14
2008-07-10,22,15,0.0,15.5,5,5,47,02:25 PM,12:19 AM,05:46 AM,09:00 PM,14,20,20,20,17,10,71,0.0,1015,22,10,272,11
2008-07-11,23,16,0.0,14.5,5,5,54,03:30 PM,12:40 AM,05:47 AM,08:59 PM,17,20,21,20,12,34,81,1.5,1016,23,10,130,7
2008-07-12,25,16,0.0,13.5,6,6,61,04:35 PM,01:05 AM,05:48 AM,08:59 PM,18,21,23,21,20,39,83,0.0,1013,25,8,175,11
2008-07-13,24,18,0.0,12.5,6,6,68,05:38 PM,01:35 AM,05:49 AM,08:58 PM,17,22,22,22,24,39,75,0.0,1005,24,10,246,14
2008-07-14,21,16,0.0,14.5,5,5,76,06:37 PM,02:11 AM,05:50 AM,08:57 PM,14,19,19,19,22,33,76,0.6,1010,21,10,270,14
2008-07-15,23,13,0.0,13.5,5,5,83,07:30 PM,02:56 AM,05:50 AM,08:57 PM,15,20,21,20,14,16,74,0.0,1017,23,10,192,8
2008-07-16,26,17,0.0,14.5,6,6,90,08:15 PM,03:49 AM,05:51 AM,08:56 PM,18,22,23,22,13,16,78,1.6,1019,26,10,199,7
2008-07-17,25,17,0.0,14.5,6,6,97,08:52 PM,04:49 AM,05:52 AM,08:55 PM,20,23,24,23,15,17,83,6.3,1018,25,9,184,8
2008-07-18,24,20,0.0,12.5,6,6,100,09:23 PM,05:55 AM,05:53 AM,08:54 PM,20,25,25,23,22,30,83,0.1,1014,24,9,233,11
2008-07-19,25,19,0.0,12.4,6,6,88,09:48 PM,07:02 AM,05:54 AM,08:53 PM,20,23,24,23,11,40,87,5.1,1014,25,10,267,6
2008-07-20,20,19,0.0,9.4,4,4,81,10:10 PM,08:11 AM,05:55 AM,08:53 PM,19,20,20,20,12,85,96,1.8,1011,20,5,88,7
2008-07-21,22,18,0.0,12.4,4,4,73,10:30 PM,09:20 AM,05:56 AM,08:52 PM,19,20,21,20,8,52,93,2.5,1011,22,7,132,5
2008-07-22,22,18,0.0,12.4,4,4,66,10:50 PM,10:28 AM,05:57 AM,08:51 PM,19,20,21,20,12,58,95,10.7,1012,22,6,104,7
2008-07-23,20,16,0.0,11.4,4,4,59,11:11 PM,11:38 AM,05:58 AM,08:50 PM,17,18,18,18,21,71,93,4.7,1013,20,9,144,14
2008-07-24,22,16,0.0,14.5,5,5,52,11:34 PM,12:50 PM,05:59 AM,08:49 PM,17,19,20,19,21,30,88,2.1,1013,22,10,296,13
2008-07-25,24,16,0.0,14.5,6,6,44,No moonrise,02:05 PM,06:00 AM,08:48 PM,16,21,22,21,22,12,73,0.0,1016,24,10,231,13
2008-07-26,24,18,0.0,11.6,5,5,37,12:01 AM,03:24 PM,06:01 AM,08:47 PM,18,21,22,21,25,30,85,5.5,1010,24,9,250,14
2008-07-27,24,15,0.0,11.6,5,5,30,12:36 AM,04:41 PM,06:02 AM,08:46 PM,16,20,21,20,24,21,79,1.9,1008,24,10,253,14
2008-07-28,23,17,0.0,11.6,5,5,23,01:22 AM,05:55 PM,06:03 AM,08:45 PM,19,21,22,21,14,33,90,3.1,1010,23,9,287,8
2008-07-29,24,16,0.0,11.6,6,6,15,02:19 AM,06:58 PM,06:04 AM,08:43 PM,18,21,22,21,11,12,82,0.0,1013,24,7,198,7
2008-07-30,23,19,0.0,10.5,6,6,8,03:31 AM,07:48 PM,06:05 AM,08:42 PM,19,21,23,21,22,42,88,2.9,1006,23,9,196,12
2008-07-31,23,19,0.0,10.5,6,6,4,04:49 AM,08:26 PM,06:06 AM,08:41 PM,19,21,22,21,20,28,86,1.3,1004,23,8,291,12
2008-08-01,24,16,0.0,11.6,6,6,0,06:10 AM,08:57 PM,06:07 AM,08:40 PM,18,21,22,21,16,27,84,2.9,1007,24,10,289,10
2008-08-02,22,17,0.0,11.6,5,5,0,07:29 AM,09:22 PM,06:08 AM,08:39 PM,18,20,20,20,19,33,89,2.6,1008,22,9,320,12
2008-08-03,23,16,0.0,11.6,5,5,6,08:43 AM,09:43 PM,06:09 AM,08:37 PM,17,20,21,20,20,15,81,0.0,1014,23,10,324,13
2008-08-04,24,15,0.0,11.6,6,6,14,09:55 AM,10:03 PM,06:10 AM,08:36 PM,18,22,23,22,9,12,77,0.0,1015,24,10,238,6
2008-08-05,25,20,0.0,10.5,6,6,21,11:03 AM,10:22 PM,06:11 AM,08:35 PM,19,22,24,22,14,48,84,0.9,1012,25,9,157,8
2008-08-06,25,19,0.0,11.6,6,6,28,12:10 PM,10:43 PM,06:12 AM,08:33 PM,18,22,23,22,22,11,79,0.0,1011,25,10,302,14
2008-08-07,22,17,0.0,11.6,5,5,35,01:17 PM,11:07 PM,06:14 AM,08:32 PM,16,20,21,20,16,32,80,0.0,1008,22,10,299,10
2008-08-08,20,16,0.0,10.5,5,5,43,02:22 PM,11:35 PM,06:15 AM,08:31 PM,15,18,18,18,27,53,85,2.7,1009,20,10,321,19
2008-08-09,21,14,0.0,9.3,5,5,50,03:27 PM,No moonset,06:16 AM,08:29 PM,15,18,18,18,16,43,83,7.4,1009,21,9,238,10
2008-08-10,17,12,0.0,8.2,3,3,57,04:28 PM,12:08 AM,06:17 AM,08:28 PM,13,15,15,15,14,60,90,2.6,1009,17,9,149,10
2008-08-11,22,14,0.0,11.6,5,5,65,05:24 PM,12:50 AM,06:18 AM,08:26 PM,16,18,18,18,22,24,86,1.7,1012,22,10,294,14
2008-08-12,22,15,0.0,11.6,5,5,72,06:11 PM,01:40 AM,06:19 AM,08:25 PM,16,19,20,19,16,23,84,1.3,1011,22,10,304,10
2008-08-13,21,15,0.0,10.5,5,5,79,06:51 PM,02:37 AM,06:20 AM,08:23 PM,17,19,20,19,12,30,87,1.4,1009,21,9,254,7
2008-08-14,22,15,0.0,11.6,5,5,86,07:24 PM,03:42 AM,06:21 AM,08:22 PM,17,19,20,19,9,14,85,1.7,1011,22,10,205,6
2008-08-15,22,15,0.0,11.6,5,5,94,07:52 PM,04:49 AM,06:22 AM,08:20 PM,16,19,19,19,16,19,87,2.3,1016,22,10,317,10
2008-08-16,23,15,0.0,11.6,5,5,100,08:15 PM,05:58 AM,06:24 AM,08:19 PM,15,20,20,20,20,13,78,0.0,1016,23,10,282,12
2008-08-17,24,17,0.0,11.6,6,6,100,08:36 PM,07:08 AM,06:25 AM,08:17 PM,17,21,21,21,20,33,80,1.5,1013,24,10,250,12
2008-08-18,26,19,0.0,11.6,6,6,85,08:56 PM,08:18 AM,06:26 AM,08:16 PM,20,22,23,22,28,33,87,2.2,1011,26,10,249,16
2008-08-19,19,13,0.0,11.6,5,5,77,09:17 PM,09:29 AM,06:27 AM,08:14 PM,12,16,16,16,18,22,75,0.0,1019,19,10,91,13
2008-08-20,21,11,0.0,11.6,5,5,70,09:40 PM,10:41 AM,06:28 AM,08:13 PM,15,20,21,20,9,0,73,0.0,1023,21,10,72,7
2008-08-21,23,16,0.0,11.6,5,5,63,10:05 PM,11:56 AM,06:29 AM,08:11 PM,16,21,23,21,11,12,73,0.0,1023,23,10,94,7
2008-08-22,26,16,0.0,11.6,6,6,55,10:37 PM,01:12 PM,06:30 AM,08:09 PM,19,23,24,23,13,9,77,0.0,1022,26,10,129,8
2008-08-23,26,19,0.0,11.6,6,6,48,11:18 PM,02:29 PM,06:31 AM,08:08 PM,17,22,24,22,17,21,71,0.0,1019,26,10,185,9
2008-08-24,25,17,0.0,11.6,6,6,41,No moonrise,03:44 PM,06:33 AM,08:06 PM,17,22,23,22,17,30,75,0.9,1013,25,10,237,11
2008-08-25,19,14,0.0,11.6,5,5,34,12:10 AM,04:48 PM,06:34 AM,08:04 PM,12,17,17,17,21,1,70,0.0,1017,19,10,343,16
2008-08-26,21,12,0.0,11.6,5,5,26,01:15 AM,05:42 PM,06:35 AM,08:03 PM,12,19,20,19,13,0,63,0.0,1020,21,10,65,9
2008-08-27,21,13,0.0,11.6,5,5,19,02:29 AM,06:23 PM,06:36 AM,08:01 PM,13,19,20,19,16,16,69,0.0,1018,21,10,93,11
2008-08-28,19,15,0.0,7.9,5,5,12,03:48 AM,06:56 PM,06:37 AM,07:59 PM,13,17,17,17,20,71,77,0.3,1015,19,9,128,13
2008-08-29,23,17,0.0,11.6,5,5,5,05:06 AM,07:23 PM,06:38 AM,07:58 PM,18,20,21,20,10,57,88,0.7,1012,23,9,193,7
2008-08-30,24,17,0.0,11.6,5,5,0,06:21 AM,07:45 PM,06:39 AM,07:56 PM,17,21,22,21,16,9,76,0.0,1017,24,10,309,10
2008-08-31,25,14,0.0,11.6,5,5,0,07:34 AM,08:06 PM,06:40 AM,07:54 PM,17,22,23,22,9,16,75,0.0,1022,25,10,165,6
2008-09-01,25,17,0.0,11.6,6,6,3,08:44 AM,08:25 PM,06:42 AM,07:53 PM,20,25,27,25,7,0,78,0.0,1023,25,10,136,5
2008-09-02,25,15,0.0,11.6,5,5,10,09:52 AM,08:46 PM,06:43 AM,07:51 PM,20,24,26,24,6,0,76,0.0,1019,25,10,172,4
2008-09-03,26,16,0.0,11.6,6,6,18,11:00 AM,09:09 PM,06:44 AM,07:49 PM,20,24,26,24,11,16,77,0.4,1014,26,10,276,7
2008-09-04,24,17,0.0,11.6,6,6,25,12:07 PM,09:35 PM,06:45 AM,07:47 PM,17,21,21,21,16,46,83,0.8,1013,24,10,174,10
2008-09-05,23,18,0.0,7.8,5,5,33,01:13 PM,10:06 PM,06:46 AM,07:45 PM,17,21,22,21,31,59,81,2.0,1010,23,10,221,18
2008-09-06,20,14,0.0,11.6,5,5,40,02:16 PM,10:44 PM,06:47 AM,07:44 PM,14,17,18,17,16,49,82,1.9,1013,20,10,339,11
2008-09-07,18,12,0.0,10.3,5,5,48,03:14 PM,11:31 PM,06:48 AM,07:42 PM,13,16,16,16,15,25,85,0.4,1015,18,9,243,9
2008-09-08,21,14,0.0,7.7,5,5,55,04:05 PM,No moonset,06:50 AM,07:40 PM,14,17,18,17,21,48,82,0.5,1018,21,9,230,13
2008-09-09,17,12,0.0,11.6,4,4,63,04:47 PM,12:25 AM,06:51 AM,07:38 PM,12,14,15,14,19,49,85,1.9,1016,17,10,278,13
2008-09-10,17,9,0.0,11.6,4,4,70,05:23 PM,01:27 AM,06:52 AM,07:36 PM,9,15,16,15,12,3,66,0.0,1026,17,10,115,8
2008-09-11,20,10,0.0,11.6,4,4,78,05:53 PM,02:32 AM,06:53 AM,07:35 PM,11,16,16,16,14,21,74,0.0,1024,20,10,103,9
2008-09-12,22,16,0.0,9.0,4,4,86,06:17 PM,03:41 AM,06:54 AM,07:33 PM,18,19,20,19,20,64,92,4.1,1013,22,8,249,11
2008-09-13,20,18,0.0,6.4,4,4,93,06:39 PM,04:51 AM,06:55 AM,07:31 PM,19,20,20,20,10,96,96,12.3,1011,20,4,178,6
2008-09-14,25,21,0.0,9.0,6,6,100,07:01 PM,06:01 AM,06:56 AM,07:29 PM,21,25,25,23,34,63,90,0.6,998,25,10,199,18
2008-09-15,16,11,0.0,10.3,3,3,100,07:22 PM,07:13 AM,06:57 AM,07:27 PM,11,13,14,13,25,54,81,0.0,1012,16,10,319,19
2008-09-16,17,9,0.0,11.6,4,4,84,07:44 PM,08:25 AM,06:59 AM,07:25 PM,10,14,15,14,12,7,77,0.0,1021,17,10,274,9
2008-09-17,21,12,0.0,11.6,5,5,77,08:09 PM,09:42 AM,07:00 AM,07:24 PM,14,16,17,16,26,13,83,0.1,1019,21,10,263,16
2008-09-18,17,11,0.0,11.6,4,4,69,08:39 PM,10:59 AM,07:01 AM,07:22 PM,11,15,15,15,14,9,78,0.0,1026,17,10,49,10
